poet_name,cluster,umap_x,umap_y
المحيا الهمداني,10,7.9563727,4.6474442
المرار الكلبي,-1,5.761188,0.5945084
المرقش الأصغر,3,7.359405,0.8054527
المرقش الأكبر,3,6.6909647,1.0371937
المسجاح الضبي,0,6.1919007,-2.4150054
المسيب بن علس,10,7.225371,4.12894
المشؤوم,8,5.774507,3.1337128
المعان بن روق,6,7.772922,6.1999254
المفضل النكري,-1,7.2262278,5.1488166
الممزق العبدي,-1,6.563604,6.145357
المنخل اليشكري,-1,7.312607,2.4219825
النابغة التغلبي,6,7.8233805,5.726925
النابغة الحارثي,7,6.63071,2.708261
النابغة الذبياني,9,5.822503,4.9457808
النابغة الغنوي,6,7.0922523,6.4543138
النوار الجل,2,7.078352,1.592032
الهبل بن عامر,3,7.5515523,-0.42886865
الهجرس التغلبي,6,7.147043,6.673312
الهدم بن امرئ القيس,3,6.949503,-0.97540843
الهذلول بن كعب,0,6.134296,-2.6461527
الهذيل الأكبر التغلبي,8,5.4057174,3.9874732
الهذيل بن أم عفاش,3,7.766964,-0.16765541
الهيبان الفهمي,3,6.826056,-0.871769
الهيفاء بنت صبيح القضاعية,1,6.0889306,1.7226201
الوقي الهمداني,4,7.782671,3.5078151
امرؤ القيس,7,6.6975923,2.1681423
امرؤ القيس الزهيري,6,7.76013,6.3026547
امرؤ القيس السكوني,3,7.7729425,0.7376935
امرؤ القيس الكلبي,9,5.890586,4.9695807
بداء بن سليمان,-1,6.743543,4.329
بدر الفزاري,9,5.833794,6.0048413
برة بنت عبد المطلب,3,7.50781,1.2103812
بسام بن شريح,3,7.9139557,0.46710545
بشامة بن الغدير,1,6.3695803,1.4946
بشر الفزاري,9,5.858524,5.04807
بشر بن أبي خازم,10,6.6749997,4.0122232
بشر بن عمرو,9,5.88051,5.3399725
بشير بن النكث,3,7.26962,0.18738234
بغثر بن لقيط الأسدي,0,6.5364876,-1.8613275
بكر الجرهمي,7,6.5525713,1.6953671
بلعاء بن قيس الكناني,0,6.5912766,-2.1504414
بيهس الغطفاني,7,6.546991,1.9866375
بيهس الفزاري,10,7.9299617,4.5098977
تأبط شراً,9,5.847873,5.941674
تماضر بنت الشريد,1,6.475467,1.2707142
تنها بنت قرط العبدية,3,7.3488746,0.8175435
ثعلبة المازني,5,6.7974124,5.4870467
ثعلبة بن بكر الأزدي,3,7.677947,-0.17910196
ثعلبة بن عامر,3,6.552112,0.17135003
جابر المرني,11,5.923095,4.032588
جابر المري,10,7.9521785,4.623703
جبار الفزاري,6,7.555541,6.5665307
جبار بن قرط,3,7.4805765,-0.23605682
جبر المعاوي,9,5.689208,5.8903084
جبلة بن الحارث,4,7.279277,2.718446
جحدر الوائلي,8,5.3319077,3.5569928
جحيش الهمداني,4,7.87878,2.8139713
جساس بن مرة,7,5.945602,3.0354724
حاتم الطائي,9,5.7694507,5.27269
حاجز الأزدي,3,7.0773377,1.323822
دريد بن الصمة,8,5.5901294,4.3862386
دوسر بن هذيل,8,5.137899,4.1263657
ذؤيب بن كعب,4,7.8975425,3.0120559
ذو الإصبع العدواني,0,6.537682,-2.4388275
زبان بن سيار الفزاري,8,5.444404,3.372401
زهير بن أبي سلمى,8,5.799429,3.8430746
زيد الخيل الطائي,9,5.598127,5.8415604
سلامة بن جندل,3,7.100258,0.056650013
سنان المري,6,7.5051866,5.927304
شمر الحنفي,3,7.008688,0.60845095
صخر الغي,-1,7.1533732,3.5289521
صيفي الأسلت,0,6.2363076,-2.9047866
ضمرة بن ضمرة,3,6.7496023,-0.8713213
طرفة بن العبد,-1,5.9614224,4.5462413
عبد المسيح بن عسلة,-1,6.5717206,3.0477517
عبد يغوث الحارثي,2,7.1322503,1.6684173
عدي بن ربيعة,8,5.8634133,3.1797183
عدي بن زيد,7,6.740799,2.3487039
عروة بن الورد,9,5.4310985,4.982574
علقمة الفحل,8,5.4048033,3.6932662
عمرو بن قميئة,11,6.5406117,3.4731555
عمرو بن كلثوم,-1,6.3828006,4.2407007
عنترة بن شداد,8,5.5922914,2.9080892
قبيصة بن النصراني,8,5.9176593,3.339281
قس بن ساعدة,11,6.4795103,3.544812
قيس بن الحدادية,9,5.7204847,5.242848
لقيط بن زرارة,-1,6.87603,3.7587938
لقيط بن يعمر الإيادي,7,6.583273,1.8174268
مالك بن حريم الهمداني,10,7.259204,4.529677
محرز الضبي,3,6.8439145,0.79680794
معقر بن حمار البارقي,7,6.9758916,2.0376318
نهيكة الفزاري,6,7.335891,6.5778995
هبل الكلبي,5,6.4796176,5.071367
هبيرة المري,-1,7.71311,3.9194574
هزيلة الجديسية,0,6.397014,-2.2846172
هشام المري,5,6.5491056,5.654388
هلال بن رزين,0,6.0552745,-2.9440513
همام التميمي,-1,6.254889,3.8460436
هناءة بن مالك الأزدي,3,7.5433335,-0.53895366
هند الأيادية,3,6.246553,-0.5648246
هند السدوسية,0,6.5617995,-2.5750604
هند الضبابية,3,6.4789248,-0.36132196
هند الفزارية,6,7.7008576,6.3102794
هند بنت ابن عامر الأسلمي,0,6.1605926,-2.8066323
هند بنت الخس,6,6.946871,6.7403426
هند بنت معبد,3,6.4891024,-0.4098918
هني الكناني,0,6.519211,-2.5101585
وجيهة الضبية,3,6.959977,-0.9456163
وداك المازني,0,5.98573,-2.93963
ورقاء بن زهير,0,6.1614156,-2.7491548
وهيبة بنت عبد العزى,3,7.2654133,0.4616035
ياسر الخيبري,3,7.2499733,-1.0089749
يربوع بن حنظلة,-1,6.267444,1.2157137
يزيد الأرحبي,-1,7.7701244,4.966079
يزيد الشني,10,7.2304645,4.190209
يزيد بن الرومي العتكي,3,7.5204134,1.0268084
يزيد بن الصعق,9,4.943347,5.1548586
يزيد بن سنان المري,-1,4.905528,4.614324
يزيد بن قنافة,0,6.0457296,-2.343522
يزيد بن مجالد الفزاري,9,5.1585546,5.612383
يزيد ذو القفا,9,4.949902,5.2689996
